inst	noh	mks	cst
ACAD	17.1854	154.3	83997.9806
ACAD	18.4461	153.0	84141.5965
ACAD	44.7203	126.7	86989.2948
ACAD	18.3151	153.1	84157.6358
ACAD	25.9403	145.5	84869.434
ACAD	31.6581	139.8	85547.9629
ACAD	13.1147	158.3	83646.8826
ACAD	43.2331	128.2	86820.7763
ACAD	5.2162	166.2	82833.1846
ACAD	36.4668	135.0	86055.2628
ACAD	21.9501	149.5	84487.4243
ACAD	46.5628	124.9	87212.5178
ACAD	2.816	168.6	82604.8033
ACAD	41.2372	130.2	86591.2163
ACAD	47.9733	123.5	87352.5211
ACAD	22.121	149.3	84461.8494
ACAD	38.3939	133.1	86223.3092
ACAD	48.845	122.6	87463.8478
ACAD	42.7543	128.7	86754.7743
ACAD	20.7839	150.7	84331.8871
ACAD	3.8142	167.6	82702.8093
ACAD	46.6847	124.8	87214.0707
ACAD	37.4452	134.0	86156.5075
ACAD	49.863	121.6	87584.388
ACAD	13.1528	158.3	83604.8972
ACAD	46.0213	125.4	87167.0085
ACAD	13.6214	157.8	83673.964
ACAD	30.5186	140.9	85392.6482
ACAD	32.1199	139.3	85599.581
ACAD	29.9518	141.5	85285.5975
ACAD	39.1184	132.3	86328.1659
ACAD	14.0594	157.4	83701.2295
ACAD	38.7239	132.7	86339.0006
ACAD	47.3124	124.1	87310.1448
ACAD	14.7163	156.7	83784.6952
ACAD	29.0816	142.4	85203.4863
ACAD	40.6321	130.8	86552.9036
ACAD	16.6298	154.8	83979.5532
ACAD	24.714	146.7	84764.3291
ACAD	27.3057	144.2	85030.4762
ACAD	31.4124	140.0	85483.1456
ACAD	40.6957	130.8	86516.81
